1627975949.638904,migration switch5,Rate 20.235406857773846, from 2, to 1,1627975808.6699338,140.9689712524414
1627975955.73755,migration switch10,Rate 32.85303071689825, from 3, to 4,1627975823.9239144,131.8136386871338
1627975956.7730029,migration switch7,Rate 40.14064644791406, from 2, to 1,1627975949.6394584,7.133546590805054
1627975970.0297954,migration switch5,Rate 20.819167227248833, from 1, to 2,1627975765.8237166,204.20608234405518
1627975973.17292,migration switch3,Rate 19.866836606864908, from 1, to 3,1627975970.030543,3.1423795223236084
1627975974.2122395,migration switch13,Rate 30.120658534786926, from 4, to 3,1627975834.4942122,139.71802926063538
1627975975.2270029,migration switch3,Rate 19.11649251037974, from 3, to 1,1627975955.738355,19.488651275634766
1627975976.3173723,migration switch13,Rate 29.060591642608237, from 3, to 4,1627975975.2276998,1.0896739959716797
1627975977.425448,migration switch12,Rate 64.57395375966652, from 3, to 2,1627975976.3174658,1.1079838275909424
1627975978.986451,migration switch5,Rate 20.87417115931528, from 2, to 3,1627975956.777037,22.209415912628174
1627975980.1028214,migration switch6,Rate 41.0174659191248, from 2, to 3,1627975978.9877348,1.1150891780853271
1627975981.317318,migration switch13,Rate 23.907224088776847, from 4, to 3,1627975974.2137017,7.103619575500488
1627975982.6443386,migration switch13,Rate 17.268974688013678, from 3, to 2,1627975977.4256668,5.218674421310425
1627975983.7522066,migration switch5,Rate 16.15392608986463, from 3, to 2,1627975982.6451235,1.107086420059204
1627975984.8251252,migration switch6,Rate 37.13495346688255, from 3, to 1,1627975983.7530658,1.0720627307891846
1627975991.2371712,migration switch5,Rate 28.236603305407463, from 2, to 3,1627975980.1037397,11.133433103561401
1627975992.3231683,migration switch8,Rate 34.80225886533728, from 2, to 4,1627975991.2404768,1.082693099975586
1627976003.3831866,migration switch3,Rate 19.92611941817751, from 1, to 3,1627975973.1735752,30.209614276885986
1627976010.5077097,migration switch2,Rate 29.486204177350047, from 1, to 3,1627976003.384755,7.122955799102783
1627976012.0916924,migration switch2,Rate 20.518210984326412, from 3, to 4,1627975984.8258467,27.265848875045776
1627976013.2055967,migration switch3,Rate 48.53180056322228, from 3, to 4,1627976012.092362,1.1132383346557617
1627976014.6849518,migration switch14,Rate 22.477038479295185, from 4, to 3,1627975981.317649,33.36730480194092
1627976015.7824764,migration switch3,Rate 22.749831244262225, from 4, to 1,1627976014.685816,1.096663236618042
1627976016.647787,migration switch1,Rate 24.52565330010575, from 1, to 2,1627976010.5078132,6.139975070953369
1627976017.473852,migration switch14,Rate 22.504028419238956, from 3, to 2,1627976013.206334,4.267520427703857
1627976017.8846238,migration switch10,Rate 35.32679402260113, from 4, to 2,1627976015.782672,2.101954460144043
1627976018.9782183,migration switch15,Rate 40.40567786317321, from 4, to 3,1627976017.8851936,1.0930254459381104
1627976019.6323228,migration switch1,Rate 17.797014614211786, from 2, to 1,1627975992.3239193,27.308404684066772
1627976020.6976914,migration switch10,Rate 29.59912510399797, from 2, to 4,1627976019.6326082,1.06508469581604
1627976021.6768284,migration switch15,Rate 35.191081076989924, from 3, to 4,1627976017.4744363,4.202394962310791
1627976023.0619812,migration switch2,Rate 21.164076174782046, from 4, to 3,1627976018.9797986,4.082184791564941
1627976023.8246946,migration switch1,Rate 24.548116560791428, from 1, to 3,1627976016.6479008,7.1767964363098145
1627976025.1836648,migration switch10,Rate 36.08238698178864, from 4, to 2,1627976023.062758,2.1209089756011963
1627976025.9471934,migration switch2,Rate 18.55711362856886, from 3, to 2,1627976021.6772604,4.269934892654419
1627976027.0638185,migration switch1,Rate 24.684462979851762, from 3, to 1,1627976025.947681,1.1161384582519531
1627976028.0034943,migration switch2,Rate 21.067451041127367, from 2, to 4,1627976020.6982207,7.305274486541748
1627976029.1437016,migration switch10,Rate 34.20520231464932, from 2, to 4,1627976028.003943,1.1397597789764404
1627976030.2219253,migration switch14,Rate 42.66394170086434, from 2, to 1,1627976029.144152,1.0777745246887207
1627976031.3219602,migration switch10,Rate 25.247226340254567, from 4, to 3,1627976025.1855443,6.13641881942749
1627976032.1067982,migration switch3,Rate 21.136385135680026, from 1, to 2,1627976023.8248932,8.281907796859741
1627976033.179923,migration switch10,Rate 23.553804322430835, from 3, to 2,1627976027.063922,6.116004943847656
1627976034.2130983,migration switch7,Rate 34.676877280256065, from 1, to 2,1627976032.1074252,2.1056766510009766
1627976036.3336248,migration switch10,Rate 22.203643017570915, from 2, to 1,1627976030.221989,6.1116368770599365
1627976037.398504,migration switch3,Rate 25.21414884520056, from 2, to 1,1627976036.3337183,1.0647869110107422
1627976038.436832,migration switch10,Rate 23.219356305275475, from 1, to 3,1627976034.2134523,4.2233803272247314
1627976039.5612063,migration switch3,Rate 24.048573326460765, from 1, to 4,1627976038.4368985,1.1243102550506592
1627976040.2674537,migration switch10,Rate 18.250100861389488, from 3, to 4,1627976033.1802497,7.087205171585083
1627976041.461427,migration switch10,Rate 17.253181730643657, from 4, to 3,1627976031.3221445,10.139283895492554
1627976042.6704352,migration switch1,Rate 39.388634012223136, from 1, to 2,1627976039.561411,3.109025478363037
1627976043.570321,migration switch3,Rate 25.709839383703383, from 4, to 2,1627976041.4615104,2.108811855316162
