time,src->dst,small,big,sum
1630549964.018562,1,0,0,0
1630549964.2758718,14->6,1,0,1
1630549966.0051665,1->10,2,0,2
1630549967.2449617,6->15,3,0,3
1630549967.5640135,10->4,4,0,4
1630549968.136728,12->10,5,0,5
1630549968.488783,6->16,5,1,6
1630549968.631265,4->15,6,1,7
1630549968.7748933,4->1,7,1,8
1630549968.7758865,3->1,8,1,9
1630549969.744385,3->7,9,1,10
1630549969.9836268,12->14,10,1,11
1630549970.8761768,7->9,10,2,12
1630549971.7350562,11->6,10,3,13
1630549971.989299,12,9,3,12
1630549972.7160566,6->15,10,3,13
1630549973.337323,13->15,11,3,14
1630549973.636147,10,10,3,13
1630549974.7801008,6,10,2,12
1630549975.114534,4->5,11,2,13
1630549975.3858297,4,10,2,12
1630549975.5779583,13->9,11,2,13
1630549975.5779583,7,11,1,12
1630549977.7789998,12->7,12,1,13
1630549978.4001145,6->5,13,1,14
1630549978.9084458,1->9,14,1,15
1630549979.1787524,14->4,15,1,16
1630549980.1027558,13->16,16,1,17
1630549980.9123626,15->14,17,1,18
1630549981.2134142,8->12,18,1,19
1630549981.2293248,5->2,19,1,20
1630549982.1192484,16->2,20,1,21
1630549983.5303018,15->9,21,1,22
1630549983.7537105,1->9,22,1,23
1630549984.0556982,5->4,23,1,24
1630549984.0566957,6->4,24,1,25
1630549984.7405665,5->14,25,1,26
1630549985.218577,9->7,25,2,27
1630549985.9345565,15->12,26,2,28
1630549986.3654015,1,25,2,27
1630549987.2571678,8->5,25,3,28
1630549987.7011514,5,24,3,27
1630549987.7340631,11->3,25,3,28
1630549989.7938206,16->11,26,3,29
1630549989.9352043,4->1,27,3,30
1630549989.9681163,10->6,28,3,31
1630549990.2543523,5->16,29,3,32
1630549992.4287326,4->11,29,4,33
1630549993.0148628,12->1,30,4,34
1630549993.5573957,5->12,31,4,35
1630549993.6202228,8->4,32,4,36
1630549993.908443,14->5,32,5,37
1630549994.1953251,2->3,32,6,38
1630549994.59373,12->3,33,6,39
1630549995.29411,12->16,33,7,40
1630549995.6289175,12,32,7,39
1630549996.0745897,12,31,7,38
1630549996.1533377,10,30,7,37
1630549997.5824053,2->6,31,7,38
1630549997.7732704,12->15,31,8,39
1630549998.0242562,2->10,32,8,40
1630549998.1658902,2->10,33,8,41
1630549999.6323502,11->15,34,8,42
1630549999.9834046,10->5,35,8,43
1630549999.9844017,10->5,35,9,44
1630550000.4122646,12->9,36,9,45
1630550000.6995084,16->9,37,9,46
1630550000.906976,3->10,38,9,47
1630550001.394685,12->10,39,9,48
1630550001.7425575,11,38,9,47
1630550002.3629408,10->9,39,9,48
1630550002.5216439,1->11,40,9,49
1630550002.8077867,16,39,9,48
1630550002.9513714,3->8,40,9,49
1630550003.1400578,15->9,41,9,50
1630550003.7736416,13->16,42,9,51
1630550003.9650836,9->3,43,9,52
1630550004.617087,5->6,44,9,53
1630550004.6330457,10->1,45,9,54
1630550005.6149614,13->15,45,10,55
1630550006.9424956,11->6,46,10,56
1630550007.3403358,16->15,47,10,57
1630550008.4067695,6,46,10,56
1630550008.959762,12->11,47,10,57
1630550009.1795533,5->16,48,10,58
1630550009.62697,11->7,49,10,59
1630550009.8324344,8,49,9,58
1630550009.8645165,6->4,50,9,59
1630550010.295376,8->11,51,9,60
1630550011.0889027,13,50,9,59
1630550011.9768174,2->6,51,9,60
1630550012.054821,13->2,52,9,61
1630550012.9259403,7->12,53,9,62
1630550013.8492837,16,52,9,61
1630550014.421785,11,51,9,60
1630550014.4845746,12,50,9,59
1630550014.5176094,5->13,51,9,60
1630550014.5814717,14,50,9,59
1630550014.645299,2->1,50,10,60
1630550017.1969492,7->9,51,10,61
1630550017.696309,6,50,10,60
1630550019.3189957,9->4,51,10,61
1630550020.3221376,1,50,10,60
1630550020.8157563,16->8,51,10,61
1630550020.8626342,16,50,10,60
1630550023.4381955,13->4,51,10,61
1630550023.8202336,2->5,52,10,62
1630550023.8832846,6->15,52,11,63
1630550024.0588183,5->4,53,11,64
1630550024.1066883,12,52,11,63
1630550025.4059303,4,51,11,62
1630550025.453799,15,50,11,61
1630550025.8522139,10,49,11,60
1630550026.1702945,13->4,50,11,61
1630550026.4226198,3->16,51,11,62
1630550027.1692777,7->8,52,11,63
1630550027.7074485,16,51,11,62
1630550028.1043222,2,50,11,61
1630550028.3287115,14->5,51,11,62
1630550028.3287115,15->2,51,12,63
1630550028.7375133,5,50,12,62
1630550029.7697031,2->6,51,12,63
1630550029.9124255,6,50,12,62
1630550030.2636302,14,49,12,61
1630550031.021806,9->2,50,12,62
1630550031.210962,6->3,51,12,63
1630550031.6728814,10->7,52,12,64
1630550031.6888466,15,51,12,63
1630550031.7207596,2,51,11,62
1630550032.5762334,10->9,52,11,63
1630550032.9430869,11->3,53,11,64
1630550033.21236,12->6,54,11,65
1630550034.4483707,2->8,54,12,66
1630550034.8141556,8->9,54,13,67
